type,pos,headword,freq,range
a,,,73430,1
aa,,,1,1
aaa,,,4,1
aaaaaaaaaaaaiahahaiahaha,,,1,1
aaaahhhh,,,2,1
aaaaqui,,,6,1
aaah,,,12,1
aabb,,,2,1
aahaá,,,1,1
aai,,,1,1
aaii,,,2,1
aalmir,,,1,1
aandejo,,,1,1
aas,,,1,1
aba,,,212,1
abacate,,,10,1
abacateiro,,,4,1
abacaxi,,,4,1
abafa,,,1,1
abafada,,,1,1
abafado,,,3,1
abafando,,,2,1
abafar,,,8,1
abafo,,,1,1
abafou,,,14,1
abafá,,,2,1
abaguala,,,12,1
abagualada,,,27,1
abagualadas,,,1,1
abagualado,,,67,1
abagualando,,,3,1
abaguale,,,1,1
abagualo,,,1,1
abaixa,,,5,1
abaixada,,,1,1
abaixado,,,5,1
abaixar,,,5,1
abaixe,,,1,1
abaixemo,,,16,1
abaixo,,,152,1
abaixou,,,8,1
abajo,,,2,1
abajur,,,1,1
abala,,,9,1
abalada,,,4,1
abalado,,,3,1
abalam,,,1,1
abalando,,,1,1
abalava,,,1,1
abalo,,,10,1
abalou,,,7,1
abana,,,28,1
abanado,,,1,1
abanam,,,1,1
abanando,,,52,1
abanar,,,2,1
abanaste,,,5,1
abanava,,,5,1
abanca,,,12,1
abancada,,,1,1
abancado,,,5,1
abancam,,,8,1
abancas,,,1,1
abanco,,,3,1
abancou,,,3,1
abandona,,,30,1
abandonada,,,42,1
abandonado,,,77,1
abandonados,,,4,1
abandonam,,,2,1
abandonando,,,7,1
abandonao,,,2,1
abandonar,,,52,1
abandonaram,,,4,1
abandonarei,,,1,1
abandonaste,,,2,1
abandonastes,,,1,1
abandonava,,,2,1
abandone,,,9,1
abandonei,,,25,1
abandonem,,,1,1
abandones,,,3,1
abandono,,,103,1
abandonos,,,1,1
abandonou,,,54,1
abandoná,,,1,1
abanei,,,2,1
abanem,,,1,1
abano,,,11,1
abanos,,,1,1
abanou,,,7,1
abanquem,,,2,1
abaná,,,3,1
abaraiando,,,2,1
abaralha,,,5,1
abaralhando,,,14,1
abaralhava,,,1,1
abaralhou,,,1,1
abarbarada,,,4,1
abarbarado,,,16,1
abarca,,,1,1
abarcar,,,1,1
abarcará,,,1,1
abarrotada,,,2,1
abarrotado,,,4,1
abas,,,29,1
abastado,,,2,1
abastecem,,,1,1
abastecer,,,2,1
abasteci,,,1,1
abastecia,,,1,1
abasteriada,,,1,1
abasteço,,,1,1
abatata,,,1,1
abate,,,25,1
abatendo,,,3,1
abater,,,1,1
abates,,,2,1
abateu,,,1,1
abatida,,,1,1
abatido,,,4,1
abatimento,,,1,1
abatumado,,,1,1
abaxemo,,,1,1
abbracciare,,,2,1
abc,,,7,1
abcc,,,2,1
abdicar,,,1,1
abeberam,,,1,1
abecê,,,1,1
abeia,,,11,1
abeieira,,,1,1
abeiera,,,1,1
abeija,,,6,1
abeira,,,1,1
abelar,,,3,1
abelha,,,37,1
abelhas,,,14,1
abelheira,,,5,1
abelhudo,,,4,1
abenoado,,,2,1
abenço,,,2,1
abençoa,,,31,1
abençoada,,,86,1
abençoadas,,,4,1
abençoado,,,107,1
abençoados,,,3,1
abençoai,,,13,1
abençoando,,,17,1
abençoar,,,25,1
abençoava,,,1,1
abençoe,,,65,1
abençoou,,,18,1
abençoá,,,1,1
abenção,,,2,1
abençôe,,,1,1
abençôo,,,1,1
abençõar,,,2,1
abençõe,,,20,1
abernelhas,,,1,1
aberta,,,206,1
abertamente,,,2,1
abertas,,,10,1
aberto,,,254,1
abertos,,,73,1
abertura,,,9,1
abetos,,,1,1
abicha,,,1,1
abichada,,,10,1
abichadas,,,1,1
abichado,,,12,1
abichava,,,1,1
abiche,,,3,1
abicho,,,2,1
abichornado,,,14,1
abichá,,,3,1
abierto,,,3,1
abismado,,,1,1
abismar,,,1,1
abismo,,,7,1
abismos,,,1,1
abistrabi,,,1,1
abita,,,2,1
abixado,,,1,1
abixar,,,1,1
ablanda,,,2,1
abobado,,,2,1
abobalhado,,,2,1
abobar,,,2,1
abobra,,,2,1
abobrada,,,1,1
abobrinha,,,3,1
abobá,,,1,1
aboca,,,2,1
abocanhando,,,1,1
abofeteen,,,2,1
aboiada,,,1,1
aboiei,,,6,1
aboio,,,26,1
aboios,,,1,1
aboitei,,,1,1
abolida,,,1,1
abolido,,,2,1
abombado,,,2,1
abombador,,,1,1
abonada,,,1,1
abonado,,,2,1
abonados,,,1,1
abonança,,,1,1
abonar,,,5,1
abono,,,4,1
abonos,,,1,1
abonância,,,1,1
aborrece,,,7,1
aborrecendo,,,1,1
aborrecer,,,11,1
aborrecesses,,,1,1
aborreceu,,,11,1
aborrecida,,,11,1
aborrecido,,,26,1
aborrecimento,,,7,1
aborreça,,,5,1
aborreço,,,14,1
aborrido,,,1,1
aborto,,,2,1
abotoada,,,1,1
abotoado,,,2,1
abotoando,,,1,1
abotoar,,,1,1
abotoei,,,4,1
abotono,,,1,1
abra,,,54,1
abraca,,,1,1
abrace,,,19,1
abracei,,,25,1
abraciare,,,3,1
abraco,,,1,1
abrahão,,,60,1
abram,,,81,1
abranda,,,6,1
abrandar,,,4,1
abrande,,,7,1
abrandino,,,1,1
abrantes,,,1,1
abrasa,,,2,1
abrasador,,,1,1
abraza,,,1,1
abrazo,,,1,1
abrazos,,,1,1
abraão,,,2,1
abraça,,,137,1
abraçada,,,15,1
abraçadas,,,2,1
abraçadinha,,,1,1
abraçadinhos,,,2,1
abraçadito,,,1,1
abraçado,,,96,1
abraçados,,,28,1
abraçam,,,10,1
abraçamos,,,3,1
abraçando,,,45,1
abraçar,,,168,1
abraçaram,,,5,1
abraçarei,,,1,1
abraças,,,9,1
abraçasse,,,2,1
abraçava,,,13,1
abraçavam,,,1,1
abraçei,,,5,1
abraço,,,610,1
abraços,,,97,1
abraçou,,,21,1
abraçá,,,2,1
abração,,,3,1
abre,,,476,1
abrelino,,,1,1
abrem,,,23,1
abren,,,4,1
abres,,,4,1
abreu,,,32,1
abri,,,87,1
abria,,,50,1
abriam,,,2,1
abrianos,,,3,1
abridor,,,4,1
abriendo,,,1,1
abriga,,,49,1
abrigada,,,1,1
abrigado,,,5,1
abrigam,,,8,1
abrigando,,,3,1
abrigar,,,20,1
abrigaram,,,2,1
abrigarem,,,3,1
abrigará,,,1,1
abrigas,,,6,1
abrigaste,,,1,1
abrigastes,,,1,1
abrigava,,,2,1
abrigavam,,,1,1
abrigo,,,176,1
abrigos,,,2,1
abrigou,,,11,1
abrigue,,,3,1
abriguei,,,3,1
abril,,,22,1
abrilino,,,1,1
abrimo,,,1,1
abrimos,,,4,1
abrindo,,,301,1
abrio,,,1,1
abrir,,,168,1
abriram,,,9,1
abrirem,,,2,1
